date,ipca,cambio,selic,ibcbr,icbr_usd,embi,pimp,vix
2003-01-01,2.25,3.4384,25.06,70.23115,67.35,1317.090909090909,62.06,27.424285714285713
2003-02-01,1.57,3.5908,25.68,71.50647,69.42,1293.15,64.23,32.21842105263158
2003-03-01,1.23,3.4469,26.32,71.03026,66.21,1090.3333333333333,63.9,30.634285714285717
2003-04-01,0.97,3.1187,26.32,70.5943,66.79,899.0952380952381,62.78,23.99190476190476
2003-05-01,0.61,2.9557,26.31,69.91287,67.61,783.8636363636364,62.29,20.23952380952381
2003-06-01,-0.15,2.8832,26.09,70.02401,66.55,755.0,61.85,20.362380952380953
2003-07-01,0.2,2.8798,25.36,69.17927,67.48,781.3913043478261,62.22,19.161363636363635
2003-08-01,0.34,3.0025,23.5,69.68172,68.6,780.2857142857143,62.84,19.274285714285714
2003-09-01,0.78,2.9228,21.02,71.28608,70.12,672.3181818181819,62.96,19.532380952380954
2003-10-01,0.29,2.8615,19.54,71.15015,72.96,626.9565217391304,62.17,18.023478260869567
2003-11-01,0.34,2.9138,18.31,71.33647,74.17,567.65,63.2,17.40105263157895
2003-12-01,0.52,2.9253,16.91,71.17521,76.04,489.1818181818182,64.21,16.826363636363638
2004-01-01,0.76,2.8518,16.32,72.46389,74.91,435.6190476190476,64.51,16.101
2004-02-01,0.61,2.9303,16.3,73.25925,75.61,545.6,66.54,15.99842105263158
2004-03-01,0.47,2.9055,16.19,74.05623,79.91,555.6086956521739,66.63,17.687391304347827
2004-04-01,0.37,2.906,15.96,74.40924,81.29,594.3333333333334,67.24,15.69857142857143
2004-05-01,0.51,3.1004,15.77,74.35066,82.64,725.8095238095239,67.79,17.705000000000002
2004-06-01,0.71,3.1291,15.8,74.98168,82.26,668.5454545454545,71.03,15.342727272727274
2004-07-01,0.91,3.0368,15.77,75.26439,81.21,615.0454545454545,69.72,15.502380952380953
2004-08-01,0.69,3.0029,15.86,75.6032,80.79,558.3181818181819,70.89,16.68409090909091
2004-09-01,0.33,2.8911,16.09,76.37664,82.69,488.8636363636364,70.78,14.08095238095238
2004-10-01,0.44,2.8529,16.41,75.83445,84.09,468.1904761904762,74.43,14.973809523809523
2004-11-01,0.69,2.786,16.96,76.69201,84.51,438.7272727272728,72.92,13.577619047619047
2004-12-01,0.86,2.7182,17.5,76.10127,85.32,397.9565217391304,72.73,12.459545454545456
2005-01-01,0.58,2.693,17.93,76.58051,85.83,422.2857142857143,72.85,13.437999999999999
2005-02-01,0.59,2.5978,18.47,77.06962,86.52,405.15,73.52,11.708947368421052
2005-03-01,0.61,2.7047,18.97,77.17342,90.23,422.3181818181818,74.5,13.126363636363635
2005-04-01,0.87,2.5792,19.32,77.72911,88.53,455.0952380952381,76.9,14.459047619047618
2005-05-01,0.49,2.4528,19.61,77.66362,86.97,436.1363636363636,76.92,13.967619047619047
2005-06-01,-0.02,2.4135,19.75,77.16947,85.45,422.6363636363636,77.69,11.868636363636364
2005-07-01,0.25,2.3735,19.72,77.1542,85.41,408.8095238095238,77.28,11.049
2005-08-01,0.17,2.3606,19.75,77.76065,87.61,401.3478260869565,79.31,12.951304347826087
2005-09-01,0.35,2.2944,19.61,77.55178,90.59,375.6363636363636,79.31,12.628095238095238
2005-10-01,0.75,2.2565,19.25,77.5771,94.36,371.8095238095238,80.97,14.937619047619048
2005-11-01,0.55,2.2108,18.87,78.21667,94.87,348.95454545454544,80.15,12.147619047619047
2005-12-01,0.36,2.2855,18.24,78.84386,100.0,313.5652173913044,79.49,11.26
2006-01-01,0.59,2.2739,17.65,79.43354,102.38,282.6818181818182,79.34,12.036
2006-02-01,0.41,2.1619,17.28,79.50207,103.28,238.65,79.61,12.471052631578948
2006-03-01,0.43,2.152,16.74,79.37173,99.65,229.3913043478261,82.02,11.69391304347826
2006-04-01,0.21,2.1293,16.19,79.8895,102.3,234.0,82.48,11.84736842105263
2006-05-01,0.1,2.1781,15.7,80.92504,104.26,246.08695652173915,83.83,14.454545454545455
2006-06-01,-0.21,2.2483,15.18,79.95344,101.24,262.1363636363636,84.39,16.918636363636363
2006-07-01,0.19,2.1893,14.98,81.47107,104.16,239.57142857142856,83.32,15.325999999999999
2006-08-01,0.05,2.1559,14.66,81.4818,102.91,218.17391304347825,84.49,13.351739130434783
2006-09-01,0.21,2.1687,14.17,81.68226,99.85,229.0,84.0,12.1845
2006-10-01,0.33,2.1483,13.95,82.54063,101.91,217.72727272727272,83.3,11.306363636363637
